Date.Collected,Tube.Number,Species,Tag.Number,Colony.ID,Origin,Treatment,Gamete,Vol,Notes
20201011,165,A.pulchra,71,Apul_71,Linareva,Wild,Eggs,250uL,
20201011,166,A.pulchra,72,Apul_72,Linareva,Wild,Eggs,250uL,
20201011,167,A.pulchra,72,Apul_72,Linareva,Wild,Eggs,250uL,
20201011,168,A.pulchra,72,Apul_72,Linareva,Wild,Eggs,250uL,
20201011,169,A.cyatherea,9_1.5,Acya_9_1.5,Nursery,Nursery,Eggs,NA,Did not spawn
20201011,170,A.cyatherea,9_1.5,Acya_9_1.5,Nursery,Nursery,Eggs,NA,Did not spawn
20201011,171,A.cyatherea,9_1.5,Acya_9_1.5,Nursery,Nursery,Eggs,NA,Did not spawn
20201011,172,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Eggs,250uL,
20201011,173,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Eggs,250uL,
20201011,174,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Eggs,250uL,
20201011,175,A.cyatherea,7_3.1,Acya_7_3.1,Nursery,Nursery,Eggs,250uL,
20201011,176,A.cyatherea,7_3.1,Acya_7_3.1,Nursery,Nursery,Eggs,250uL,
20201011,177,A.cyatherea,7_3.1,Acya_7_3.1,Nursery,Nursery,Eggs,250uL,
20201011,178,A.cyatherea,7_2.6,Acya_7_2.6,Nursery,Nursery,Eggs,250uL,
20201011,179,A.cyatherea,7_2.6,Acya_7_2.6,Nursery,Nursery,Eggs,250uL,
20201011,180,A.cyatherea,7_2.6,Acya_7_2.6,Nursery,Nursery,Eggs,250uL,
20201011,181,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Sperm,1000uL,
20201011,182,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Sperm,1000uL,
20201011,183,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Sperm,1000uL,
20201011,184,A.pulchra,71,Apul_71,Linareva,Wild,Sperm,NA,Did not get before taken for crosses
20201011,185,A.pulchra,71,Apul_71,Linareva,Wild,Sperm,NA,Did not get before taken for crosses
20201011,186,A.pulchra,71,Apul_71,Linareva,Wild,Sperm,NA,Did not get before taken for crosses
20201011,187,A.pulchra,72,Apul_72,Linareva,Wild,Sperm,NA,Did not get before taken for crosses
20201011,188,A.pulchra,72,Apul_72,Linareva,Wild,Sperm,NA,Did not get before taken for crosses
20201011,189,A.pulchra,72,Apul_72,Linareva,Wild,Sperm,NA,Did not get before taken for crosses
20201011,190,A.cyatherea,9_1.5,Acya_9_1.5,Nursery,Nursery,Sperm,NA,Did not spawn
20201011,191,A.cyatherea,9_1.5,Acya_9_1.5,Nursery,Nursery,Sperm,NA,Did not spawn
20201011,192,A.cyatherea,9_1.5,Acya_9_1.5,Nursery,Nursery,Sperm,NA,Did not spawn
20201011,193,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Sperm,1000uL,
20201011,194,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Sperm,1000uL,
20201011,195,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Sperm,1000uL,
20201011,196,A.cyatherea,7_3.1,Acya_7_3.1,Nursery,Nursery,Sperm,1000uL,
20201011,197,A.cyatherea,7_3.1,Acya_7_3.1,Nursery,Nursery,Sperm,1000uL,
20201011,198,A.cyatherea,7_3.1,Acya_7_3.1,Nursery,Nursery,Sperm,1000uL,
20201011,199,A.cyatherea,7_2.6,Acya_7_2.6,Nursery,Nursery,Sperm,1000uL,
20201011,200,A.cyatherea,7_2.6,Acya_7_2.6,Nursery,Nursery,Sperm,1000uL,
20201011,201,A.cyatherea,7_2.6,Acya_7_2.6,Nursery,Nursery,Sperm,1000uL,
20201011,202,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Eggs,250uL,
20201011,203,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Eggs,250uL,
20201011,204,A.cyatherea,3_4.1,Acya_3_4.1,Nursery,Nursery,Eggs,250uL,
20201011,205,A.pulchra,185,Apul_185,Manava,Outplant,Eggs,250uL,
20201011,206,A.pulchra,185,Apul_185,Manava,Outplant,Eggs,250uL,
20201011,207,A.pulchra,185,Apul_185,Manava,Outplant,Eggs,250uL,
20201011,208,A.pulchra,14_4.2,Apul_14_4.2,Nursery,Nursery,Eggs,250uL,
20201011,209,A.pulchra,14_4.2,Apul_14_4.2,Nursery,Nursery,Eggs,250uL,
20201011,210,A.pulchra,14_4.2,Apul_14_4.2,Nursery,Nursery,Eggs,250uL,
20201011,211,A.pulchra,185,Apul_185,Manava,Outplant,Sperm,1000uL,
20201011,212,A.pulchra,185,Apul_185,Manava,Outplant,Sperm,1000uL,
20201011,213,A.pulchra,185,Apul_185,Manava,Outplant,Sperm,1000uL,
20201011,214,A.pulchra,14_4.2,Apul_14_4.2,Nursery,Nursery,Sperm,NA,Not enough left from crosses
20201011,215,A.pulchra,14_4.2,Apul_14_4.2,Nursery,Nursery,Sperm,NA,Not enough left from crosses
20201011,216,A.pulchra,14_4.2,Apul_14_4.2,Nursery,Nursery,Sperm,NA,Not enough left from crosses
20201011,217,A.pulchra,4,Apul_4,Nursery,Nursery,Eggs,250uL,
20201011,218,A.pulchra,4,Apul_4,Nursery,Nursery,Eggs,250uL,
20201011,219,A.pulchra,4,Apul_4,Nursery,Nursery,Eggs,250uL,
20201011,220,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Sperm,1000uL,
20201011,221,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Sperm,1000uL,
20201011,222,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Sperm,1000uL,
20201011,223,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Eggs,250uL,
20201011,224,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Eggs,250uL,
20201011,225,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Eggs,250uL,
20201012,184,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Sperm,500uL,Not much so took less than usual
20201012,185,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Sperm,NA,Not enough to do duplicates
20201012,186,A.cyatherea,20_C5,Acya_20_C5,Nursery,Nursery,Sperm,NA,Not enough to do duplicates
20201012,187,A.cyatherea,3_3.1,Acya_3_3.1,Nursery,Nursery,Sperm,NA,Not enough for sampling
20201012,188,A.cyatherea,3_3.1,Acya_3_3.1,Nursery,Nursery,Sperm,NA,Not enough for sampling
20201012,189,A.cyatherea,3_3.1,Acya_3_3.1,Nursery,Nursery,Sperm,NA,Not enough for sampling
20201012,190,A.cyatherea,8_2.1,Acya_8_2.1,Nursery,Nursery,Sperm,500uL,
20201012,191,A.cyatherea,8_2.1,Acya_8_2.1,Nursery,Nursery,Sperm,500uL,
20201012,192,A.cyatherea,8_2.1,Acya_8_2.1,Nursery,Nursery,Sperm,500uL,
20201012,226,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Sperm,500uL,
20201012,227,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Sperm,500uL,
20201012,228,A.cyatherea,9_3.4,Acya_9_3.4,Nursery,Nursery,Sperm,500uL,
